time="2024-12-06T09:34:30+05:00" level=info msg="Configuration loaded"
time="2024-12-06T09:34:30+05:00" level=info msg="Connected to MongoDB"
time="2024-12-06T09:34:30+05:00" level=info msg="Initializing Kafka producer with address:localhost:9092"
time="2024-12-06T09:34:30+05:00" level=info msg="Kafka client initialized successfully"
time="2024-12-06T09:34:30+05:00" level=info msg="grpc server started :8001"
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: started: filter = "
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: using filter"
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: started: filter = "
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: using filter"
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: product list fetched, size = 2"
time="2024-12-06T09:34:38+05:00" level=info msg="GetProductByFilter: product list fetched, size = 2"
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: started: filter = "
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: using filter"
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: product list fetched, size = 2"
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: started: filter = "
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: using filter"
time="2024-12-06T09:34:59+05:00" level=info msg="GetProductByFilter: product list fetched, size = 2"
time="2024-12-06T09:35:00+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:00+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:05+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:05+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:10+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:35:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
